comparison,rank,type,rank_1,rank_2,count_1,count_2,contribution,side
lanes,4,fox,9.0,697.0,1020,58,-0.0002591125549332953,system_1
lanes,5,woke,1948.5,12.0,17,536,0.0002531551015793136,system_2
lanes,6,democrats,73.5,5.0,318,777,0.00024746424090321743,system_2
lanes,7,breaking,5.5,91.5,1486,223,-0.00024667172989710745,system_1
lanes,8,tyt,16.0,6107.0,634,4,-0.0002453516432666121,system_1
lanes,9,democrat,311.0,9.0,125,602,0.00024050083537391118,system_2
lanes,10,let,11.0,359.5,890,97,-0.00022730606003557065,system_1
lanes,11,hour,18.0,2327.5,628,17,-0.0002257079332511425,system_1
lanes,12,talk,12.0,378.0,863,95,-0.00022147641134212658,system_1
lanes,13,panics,13.0,396.0,767,93,-0.00021624028498903538,system_1
lanes,14,black,48.0,6.0,394,634,0.00020836482286343917,system_2
lanes,15,republicans,10.0,125.0,935,197,-0.00020208478916148152,system_1
lanes,16,fraud,448.0,18.0,90,450,0.00019441812029979022,system_2
lanes,17,brian,21.5,758.5,573,54,-0.00019389178074496674,system_1
lanes,18,mamdani,254.5,15.0,144,479,0.00019255486186024338,system_2
lanes,19,epstein,5.5,30.5,1486,357,-0.00019183938147906377,system_1
lanes,20,disaster,20.0,368.5,585,96,-0.00018150890191754495,system_1
lanes,21,muslim,2812.0,43.5,10,303,0.00017225415785810343,system_2
lanes,22,hegseth,31.0,829.5,509,50,-0.0001712916163742389,system_1
lanes,23,people,118.0,14.0,240,494,0.00017076518084794087,system_2
lanes,24,jlp,18210.5,68.0,0,250,0.00016830434348777935,system_2
lanes,25,omg,62.0,7252.5,353,3,-0.00016463730005224743,system_1
lanes,26,liberal,827.0,35.0,49,337,0.00016351576886403744,system_2
lanes,27,kirk,83.5,13.0,291,516,0.00016186633703616578,system_2
lanes,28,charlie,213.5,21.0,159,411,0.00016102878934852563,system_2
lanes,29,men,752.5,36.5,55,335,0.00015878103904372313,system_2
lanes,30,real,162.5,19.0,192,433,0.00015876994237502614,system_2
lanes,31,loses,24.0,254.5,560,131,-0.00015713651763559077,system_1
lanes,32,president,371.5,29.0,104,360,0.00015557353883376715,system_2
lanes,33,indisputable,90.5,20252.0,286,0,-0.0001553636815674088,system_1
lanes,34,candace,202.0,23.0,169,395,0.00015232033067631056,system_2
lanes,35,tmr,99.0,20252.0,264,0,-0.00015123279167403775,system_1
lanes,36,rashad,85.5,9244.0,288,2,-0.00015114721677710383,system_1
lanes,37,damage,66.0,3006.5,336,12,-0.00015039980029576277,system_1
lanes,38,richey,88.0,9244.0,287,2,-0.00014977336425189253,system_1
lanes,39,bannon,1144.5,50.0,34,281,0.00014892746575885407,system_2
lanes,40,warroom,18210.5,103.5,0,215,0.00014837863983877263,system_2
lanes,41,sh,56.0,1442.0,371,29,-0.00014703310313425594,system_1
lanes,42,bonus,81.0,3686.5,293,9,-0.00014288092501953746,system_1
lanes,43,islam,7335.0,100.5,2,217,0.00014109386979034062,system_2
lanes,44,truth,42.0,11.0,438,557,0.00014001983922321868,system_2
lanes,45,american,274.0,32.5,138,344,0.00013835276293682662,system_2
lanes,46,myron,3251.0,86.0,8,231,0.00013812767001807438,system_2
lanes,47,woman,398.0,40.0,99,322,0.00013643461747889354,system_2
lanes,48,media,144.5,24.0,210,388,0.00013621303831386328,system_2
lanes,49,shapiro,32.0,249.0,498,132,-0.00013615590668442418,system_1
lanes,50,collapses,53.0,731.5,377,56,-0.0001356372972895084,system_1
lanes,51,donald,44.0,470.5,412,81,-0.0001352767236483652,system_1
lanes,52,gets,7.0,20.0,1125,415,-0.000135059405402728,system_1
lanes,53,report,33.0,254.5,487,131,-0.00013480483951545588,system_1
lanes,54,clancy,3553.5,97.0,7,221,0.0001335841318385608,system_2
lanes,55,karmelo,1669.5,76.0,21,239,0.0001333701536860646,system_2
lanes,56,melania,82.0,1942.0,292,21,-0.0001322076401334035,system_1
lanes,57,owens,318.5,39.0,121,325,0.00013116546123808766,system_2
lanes,58,liberals,2255.0,90.0,14,224,0.0001301280964006747,system_2
lanes,59,nyc,844.5,63.0,48,254,0.00012921937990879816,system_2
lanes,60,lamont,172.5,20252.0,186,0,-0.00012750596695672566,system_1
lanes,61,anthony,1457.0,82.5,25,233,0.00012653382737620898,system_2
lanes,62,left,209.5,34.0,161,342,0.00012573095443025285,system_2
lanes,63,california,727.0,64.0,57,253,0.00012470863275807409,system_2
lanes,64,mayor,1090.5,77.0,36,238,0.0001241114848207679,system_2
lanes,65,lindsay,2812.0,110.0,10,211,0.00012408217488843714,system_2
lanes,66,backfires,36.0,222.5,478,145,-0.0001240602374562969,system_1
lanes,67,noem,73.5,915.5,318,46,-0.00012265074360624459,system_1
lanes,68,pray,11061.5,190.0,1,160,0.00011809791895537876,system_2
lanes,69,guthrie,4935.0,152.0,4,180,0.00011780725898539864,system_2
lanes,70,marc,152.0,4746.0,205,6,-0.0001172783084486918,system_1
lanes,71,vance,23.0,89.0,566,225,-0.00011712996643930475,system_1
lanes,72,erupts,69.5,633.0,326,63,-0.00011651036381205915,system_1
lanes,73,caller,77.0,773.5,307,53,-0.0001160686631466345,system_1
lanes,74,health,78.0,793.5,303,52,-0.00011600944932856376,system_1
lanes,75,bombshell,28.0,115.5,518,206,-0.00011458857867492033,system_1
lanes,76,drops,37.0,182.5,477,163,-0.00011446755871966142,system_1
lanes,77,going,130.0,30.5,225,357,0.00011367362267094294,system_2
lanes,78,leaks,112.0,1610.5,246,26,-0.00011331540333687125,system_1
lanes,79,files,41.0,211.0,444,149,-0.0001132374622109535,system_1
lanes,80,blows,107.5,1305.5,251,32,-0.00011099090577672314,system_1
lanes,81,ds,18210.5,261.5,0,129,0.00011067821062351898,system_2
lanes,82,admits,55.0,330.0,375,105,-0.00011059126919217148,system_1
lanes,83,gop,30.0,117.0,513,205,-0.00010997823109812827,system_1
lanes,84,bondi,69.5,486.5,326,78,-0.00010906678975947246,system_1
lanes,85,state,189.5,41.0,177,321,0.0001089464838867031,system_2
lanes,86,oh,146.5,2446.5,209,16,-0.00010864653643108124,system_1
lanes,87,glenn,1329.5,114.0,28,208,0.00010851428889387361,system_2
lanes,88,alex,219.0,46.0,157,292,0.0001070262686373475,system_2
lanes,89,kristi,114.5,1230.0,244,34,-0.00010661010296225803,system_1
lanes,90,don't,233.0,49.0,149,288,0.00010530229220812254,system_2
lanes,91,leavitt,133.0,1610.5,221,26,-0.00010518018926277026,system_1
lanes,92,furious,92.0,731.5,278,56,-0.00010513517015651942,system_1
lanes,93,case,305.5,58.0,127,267,0.00010465687573567211,system_2
lanes,94,major,28.0,94.5,518,222,-0.00010459339539236455,system_1
lanes,95,shields,11061.5,271.0,1,124,0.00010450466223854781,system_2
lanes,96,scheme,117.0,1160.0,242,36,-0.00010424513990899489,system_1
lanes,97,somali,1794.0,142.5,19,185,0.00010415137162390301,system_2
lanes,98,mark,328.0,62.0,118,256,0.0001030783244774326,system_2
lanes,99,kulinski,248.0,7252.5,145,3,-0.0001029680259542701,system_1
lanes,100,republican,35.0,128.0,480,193,-0.0001028112684049155,system_1
